Date,Open,High,Low,Close,AdjustedClose,Volume
2021-02-19,5.65,5.735,5.35,5.49,5.49,111600
2021-02-22,5.41,5.69,5.25,5.34,5.34,78700
2021-02-23,5.25,5.3,4.43,5,5,161300
2021-02-24,5.01,5.22,4.85,5.13,5.13,164800
2021-02-25,5.07,5.13,4.51,4.74,4.74,102400
2021-02-26,4.66,4.9,4.07,4.25,4.25,364500
2021-03-01,4.876,4.876,4.45,4.8,4.8,273100
2021-03-02,4.85,4.86,4.45,4.5,4.5,202900
2021-03-03,4.52,4.76,4.22,4.32,4.32,135800
2021-03-04,4.33,4.61,3.85,3.99,3.99,216500
2021-03-05,4.05,4.54,3.82,4.22,4.22,133700
2021-03-08,4.27,4.49,3.94,4.25,4.25,83900
2021-03-09,4.54,4.575,4.12,4.51,4.51,186100
2021-03-10,4.44,4.575,4.209,4.51,4.51,248700
2021-03-11,4.55,5,4.55,4.89,4.89,211200
2021-03-12,4.86,5.55,4.61,5.44,5.44,486300
2021-03-15,5.5,5.5,4.96,5.2,5.2,325700
2021-03-16,5.42,5.46,4.88,5.06,5.06,180000
2021-03-17,4.8,5.16,4.63,4.76,4.76,212700
2021-03-18,4.93,5.15,4.79,4.8,4.8,149700
2021-03-19,4.81,5.33,4.81,4.97,4.97,455500
2021-03-22,5.03,5.25,4.79,4.79,4.79,123300
2021-03-23,4.79,5.14,4.62,4.65,4.65,225800
2021-03-24,4.69,4.929,4.6,4.72,4.72,151200
2021-03-25,4.6,4.624,4.3,4.45,4.45,137300
2021-03-26,4.55,4.742,4.45,4.5,4.5,96900
2021-03-29,4.67,4.75,4.35,4.5,4.5,39600
2021-03-30,4.5,4.5,4.2,4.27,4.27,49400
2021-03-31,4.22,4.4,4.22,4.31,4.31,50800
2021-04-01,4.34,4.689,4.34,4.61,4.61,159000
2021-04-05,4.61,4.7,4.25,4.3,4.3,103200
2021-04-06,4.22,4.54,4.201,4.28,4.28,50300
2021-04-07,4.27,4.425,4.11,4.25,4.25,84700
2021-04-08,4.25,4.29,4.1,4.17,4.17,25000
2021-04-09,4.12,4.34,4.01,4.15,4.15,89700
2021-04-12,4.26,4.26,3.8,3.88,3.88,113500
2021-04-13,3.88,3.99,3.55,3.88,3.88,131500
2021-04-14,3.8,3.985,3.68,3.8,3.8,43700
2021-04-15,3.82,3.965,3.66,3.69,3.69,111200
2021-04-16,3.65,3.86,3.55,3.61,3.61,130100
2021-04-19,3.51,3.59,3.222,3.43,3.43,144000
2021-04-20,3.5,3.5,3.2,3.22,3.22,74600
2021-04-21,3.22,3.66,3.15,3.5,3.5,118900
2021-04-22,3.55,3.68,3.31,3.47,3.47,80500
2021-04-23,3.33,3.5,3.3,3.38,3.38,86300
2021-04-26,3.47,3.873,3.4,3.83,3.83,126400
2021-04-27,3.91,4.47,3.78,4.36,4.36,189800
2021-04-28,4.3,4.35,4.056,4.08,4.08,76900
2021-04-29,4.13,4.38,3.95,4.11,4.11,35100
2021-04-30,4.07,4.15,3.961,4.03,4.03,22700
2021-05-03,4.15,4.22,3.9,3.97,3.97,23900
2021-05-04,3.92,4.4,3.86,4.39,4.39,117400
2021-05-05,4.43,4.517,4.23,4.31,4.31,74600
2021-05-06,4.28,4.4,4.08,4.16,4.16,32800
2021-05-07,4.15,4.22,4.08,4.22,4.22,32900
2021-05-10,4.22,4.4,4,4,4,45800
2021-05-11,3.9,4,3.8,3.94,3.94,57000
2021-05-12,3.9,3.97,3.745,3.79,3.79,104900
2021-05-13,3.77,3.9183,3.64,3.7,3.7,144674
2021-05-14,3.73,3.81,3.62,3.65,3.65,46400
2021-05-17,3.7,3.7,3.6,3.62,3.62,29700
2021-05-18,3.62,3.775,3.62,3.65,3.65,14400
2021-05-19,3.6,3.7,3.5,3.57,3.57,88400
2021-05-20,3.56,3.84,3.56,3.84,3.84,37700
2021-05-21,3.83,4.16,3.788,4.08,4.08,83000
2021-05-24,4.06,4.146,3.74,3.75,3.75,51700
2021-05-25,3.75,4.06,3.55,4,4,86600
2021-05-26,4,4.24,4,4.1,4.1,88700
2021-05-27,4.14,4.25,4.116,4.215,4.215,24200
2021-05-28,4.25,4.401,4.15,4.34,4.34,97000
2021-06-01,4.35,4.68,4.01,4.05,4.05,257000
2021-06-02,4.08,4.384,3.93,3.93,3.93,89300
2021-06-03,3.99,4.15,3.7,3.78,3.78,100200
2021-06-04,3.76,3.881,3.6,3.69,3.69,115500
2021-06-07,3.75,4.09,3.68,4.03,4.03,81000
2021-06-08,4.02,4.15,3.76,4.12,4.12,190200
2021-06-09,4.13,4.25,4.03,4.03,4.03,65500
2021-06-10,4.05,4.16,3.82,3.82,3.82,48600
2021-06-11,3.91,4.24,3.91,4.09,4.09,27600
2021-06-14,4.05,4.14,3.919,4,4,38500
2021-06-15,4.04,4.135,3.9,3.98,3.98,51700
2021-06-16,3.94,4.15,3.94,4.14,4.14,42800
2021-06-17,4.1,4.19,4.01,4.19,4.19,44800
2021-06-18,4.11,4.519,4.11,4.5,4.5,169900
2021-06-21,4.46,4.51,4.16,4.4,4.4,76600
2021-06-22,4.32,4.5,4.16,4.5,4.5,126700
2021-06-23,4.47,4.73,4.43,4.67,4.67,114900
2021-06-24,4.64,4.7,4.5,4.58,4.58,64700
2021-06-25,4.61,4.85,4.55,4.75,4.75,205000
2021-06-28,4.75,4.844,4.59,4.62,4.62,65400
2021-06-29,4.6,4.72,4.46,4.5,4.5,47700
2021-06-30,4.5,4.5,4.085,4.23,4.23,162600
2021-07-01,4.23,4.45,4.19,4.43,4.43,79800
2021-07-02,4.41,4.62,4.28,4.34,4.34,134300
2021-07-06,4.33,4.33,3.92,4.03,4.03,72000
2021-07-07,3.94,4.039,3.8,3.83,3.83,125400
2021-07-08,3.75,4.284,3.75,3.92,3.92,64000
2021-07-09,3.98,3.98,3.88,3.95,3.95,23500
2021-07-12,3.913,4.09,3.913,4.03,4.03,21700
2021-07-13,4.08,4.08,3.89,3.93,3.93,9800
2021-07-14,3.93,3.93,3.75,3.81,3.81,21100
2021-07-15,3.8,3.825,3.52,3.59,3.59,42100
2021-07-16,3.67,3.92,3.579,3.7,3.7,27400
2021-07-19,3.67,3.93,3.64,3.82,3.82,38189
